DateTime,Summary,Temp,Rain,Wind_Speed
2012-11-17 10:00:00,Partly Cloudy,6,0,22
2012-11-17 11:00:00,Partly Cloudy,6,0,24
2012-11-17 12:00:00,Partly Cloudy,7,0,24
2012-11-17 13:00:00,Scattered Clouds,8,0,25
2012-11-17 14:00:00,Scattered Clouds,7,0,27
2012-11-17 15:00:00,Partly Cloudy,7,0,27
2012-11-17 16:00:00,Light Rain Showers,5,1,24
2012-11-17 17:00:00,Partly Cloudy,5,0,20
2012-11-17 18:00:00,Partly Cloudy,4,0,20
2012-11-17 19:00:00,Partly Cloudy,4,0,22
2012-11-17 20:00:00,Partly Cloudy,3,0,20
2012-11-17 21:00:00,Partly Cloudy,3,0,22
2012-11-17 22:00:00,Partly Cloudy,3,0,22
2012-11-17 23:00:00,Partly Cloudy,3,0,22
2012-11-18 00:00:00,Partly Cloudy,3,0,16
2012-11-18 01:00:00,Partly Cloudy,3,0,14
2012-11-18 02:00:00,Partly Cloudy,2,0,18
2012-11-18 03:00:00,Partly Cloudy,2,0,11
2012-11-18 04:00:00,Partly Cloudy,1,0,13
2012-11-18 05:00:00,Partly Cloudy,2,0,9
2012-11-18 06:00:00,Partly Cloudy,2,0,13
2012-11-18 07:00:00,Partly Cloudy,3,0,14
2012-11-18 08:00:00,Mostly Cloudy,2,0,9
2012-11-18 09:00:00,Mostly Cloudy,2,0,9
2012-11-18 10:00:00,Mostly Cloudy,4,0,11
2012-11-18 11:00:00,Mostly Cloudy,6,0,11
2012-11-18 12:00:00,Mostly Cloudy,7,0,9
2012-11-18 13:00:00,Overcast,7,0,11
2012-11-18 14:00:00,Mostly Cloudy,7,0,18
2012-11-18 15:00:00,Mostly Cloudy,7,0,16
2012-11-18 16:00:00,Light Rain,7,1,13
2012-11-18 17:00:00,Light Rain,6,1,11
2012-11-18 18:00:00,Light Rain,6,1,18
2012-11-18 19:00:00,Light Rain,7,1,25
2012-11-18 20:00:00,Light Rain,7,1,44
2012-11-18 21:00:00,Light Rain,9,1,24
2012-11-18 22:00:00,Light Rain,9,1,35
2012-11-18 23:00:00,Mostly Cloudy,10,0,31
2012-11-19 00:00:00,Mostly Cloudy,11,0,31
2012-11-19 01:00:00,Mostly Cloudy,11,0,37
2012-11-19 02:00:00,Mostly Cloudy,12,0,38
2012-11-19 03:00:00,Mostly Cloudy,12,0,37
2012-11-19 04:00:00,Mostly Cloudy,12,0,29
2012-11-19 05:00:00,Light Rain,11,1,31
2012-11-19 06:00:00,Light Rain,11,1,25
2012-11-19 07:00:00,Mostly Cloudy,12,0,25
2012-11-19 08:00:00,Mostly Cloudy,12,0,25
2012-11-19 09:00:00,Mostly Cloudy,13,0,24
2012-11-19 10:00:00,Mostly Cloudy,13,0,27
2012-11-19 11:00:00,Mostly Cloudy,13,0,35
2012-11-19 12:00:00,Mostly Cloudy,14,0,33
2012-11-19 13:00:00,Mostly Cloudy,13,0,37
2012-11-19 14:00:00,Mostly Cloudy,13,0,35
2012-11-19 15:00:00,Mostly Cloudy,13,0,33
2012-11-19 16:00:00,Mostly Cloudy,12,0,22
2012-11-19 17:00:00,Mostly Cloudy,12,0,22
2012-11-19 18:00:00,Scattered Clouds,11,0,22
2012-11-19 19:00:00,Mostly Cloudy,11,0,16
2012-11-19 20:00:00,Mostly Cloudy,11,0,14
2012-11-19 21:00:00,Partly Cloudy,10,0,22
2012-11-19 22:00:00,Scattered Clouds,10,0,13
2012-11-19 23:00:00,Scattered Clouds,10,0,11
2012-11-20 00:00:00,Partly Cloudy,10,0,14
2012-11-20 01:00:00,Scattered Clouds,11,0,11
2012-11-20 02:00:00,Mostly Cloudy,9,0,13
2012-11-20 03:00:00,Mostly Cloudy,11,0,18
2012-11-20 04:00:00,Mostly Cloudy,11,0,7
2012-11-20 05:00:00,Mostly Cloudy,11,0,14
2012-11-20 06:00:00,Light Drizzle,12,0,18
2012-11-20 07:00:00,Mostly Cloudy,12,0,25
2012-11-20 08:00:00,Mostly Cloudy,12,0,20
2012-11-20 09:00:00,Mostly Cloudy,12,0,18
2012-11-20 10:00:00,Scattered Clouds,12,0,9
2012-11-20 11:00:00,Mostly Cloudy,13,0,29
2012-11-20 12:00:00,Partly Cloudy,12,0,29
2012-11-20 13:00:00,Scattered Clouds,13,0,24
2012-11-20 14:00:00,Partly Cloudy,12,0,29
2012-11-20 15:00:00,Partly Cloudy,11,0,38
2012-11-20 16:00:00,Scattered Clouds,10,0,33
2012-11-20 17:00:00,Scattered Clouds,9,0,31
2012-11-20 18:00:00,Scattered Clouds,9,0,35
2012-11-20 19:00:00,Partly Cloudy,9,0,38
2012-11-20 20:00:00,Mostly Cloudy,8,0,35
2012-11-20 21:00:00,Mostly Cloudy,7,0,27
2012-11-20 22:00:00,Clear,7,0,18
2012-11-20 23:00:00,Clear,7,0,14
2012-11-21 00:00:00,Clear,7,0,11
2012-11-21 01:00:00,Clear,7,0,13
2012-11-21 02:00:00,Clear,6,0,7
2012-11-21 03:00:00,Clear,5,0,3
2012-11-21 04:00:00,Clear,5,0,0
2012-11-21 05:00:00,Clear,7,0,13
2012-11-21 06:00:00,Clear,6,0,11
2012-11-21 07:00:00,Clear,5,0,9
2012-11-21 08:00:00,Mostly Cloudy,6,0,9
2012-11-21 09:00:00,Mostly Cloudy,6,0,13
2012-11-21 10:00:00,Partly Cloudy,8,0,9
2012-11-21 11:00:00,Partly Cloudy,9,0,16
2012-11-21 12:00:00,Partly Cloudy,10,0,20
2012-11-21 13:00:00,Partly Cloudy,10,0,22
2012-11-21 14:00:00,Partly Cloudy,10,0,22
2012-11-21 15:00:00,Partly Cloudy,10,0,22
2012-11-21 16:00:00,Partly Cloudy,9,0,16
2012-11-21 17:00:00,Partly Cloudy,9,0,18
2012-11-21 18:00:00,Scattered Clouds,9,0,14
2012-11-21 19:00:00,Mostly Cloudy,8,0,20
2012-11-21 20:00:00,Light Rain,10,1,20
2012-11-21 21:00:00,Light Rain,9,1,14
